stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
20403,1277,Gare Aliker Paul Langevin,,14.609039,-61.071300,0,10264,0
10336,GOUVFOU,Gouverneur Foureau,,14.613206,-61.073076,1,,0
20404,1278,Gouverneur Foureau,,14.613206,-61.073076,0,10336,0
20405,1279,Cour Fruit A Pain,,14.615764,-61.071880,0,10337,0
10338,PTCHAIN,Pont De Chaines,,14.617279,-61.071291,1,,0
20406,1280,Pont De Chaines,,14.617279,-61.071291,0,10338,0
20407,1281,Luna Rock Pv,,14.618951,-61.070456,0,10339,0
20408,1282,Detour Bourdin,,14.620983,-61.069713,0,10340,0
20409,1283,La Carrière,,14.620984,-61.071178,0,10341,0
20410,1284,Croisée Desrochers,,14.624765,-61.072449,0,10342,0
20435,1309,Athanase Pv,,14.627488,-61.074324,0,10367,0
20436,1310,Castel Desrocher,,14.627465,-61.075623,0,10368,0
20437,1311,Desrocher 1Pv,,14.627716,-61.077335,0,10369,0
20438,1312,Desrocher 2Pv,,14.628592,-61.078158,0,10370,0
20439,1313,Desrocher 3Pv,,14.629762,-61.078888,0,10371,0
20440,1314,Desrocher 4Pv,,14.631111,-61.078864,0,10372,0
20441,1315,Desrocher 5Pv,,14.631983,-61.078887,0,10373,0
20442,1316,Les Remparts Pv,,14.633265,-61.079679,0,10374,0
20443,1317,Desrocher 6Pv,,14.636368,-61.081219,0,10375,0
10376,DESROC7,Desrocher 7Pv,,14.638097,-61.081940,1,,0
20444,1318,Desrocher 7Pv,,14.638097,-61.081940,0,10376,0
10737,MNCOC1,Morne Coco 1,,14.638680,-61.081144,1,,0
20838,1912,Morne Coco 1,,14.638680,-61.081144,0,10737,0
10738,BATDELT,Bat.Delta,,14.640100,-61.081800,1,,0
20839,1913,Bat.Delta,,14.640100,-61.081800,0,10738,0
10739,MNCOC2,Morne Coco 2,,14.639800,-61.081700,1,,0
20840,1914,Morne Coco 2,,14.639800,-61.081700,0,10739,0
20445,1319,Bois Thibault 1Pv,,14.643096,-61.084527,0,10377,0
20446,1320,Bois Thibault 2Pv,,14.644475,-61.084704,0,10378,0
20447,1321,Bois Thibault 3Pv,,14.646229,-61.084994,0,10379,0
20448,1322,Bois Thibault 4Pv,,14.647581,-61.084552,0,10380,0
10612,LADE,Clauzel,,14.641389,-61.113551,1,,0
21248,2458,Clauzel,,14.641400,-61.113605,0,10612,0
10611,ANGLAI,Les Anglais,,14.639876,-61.112689,1,,0
21249,2459,Les Anglais,,14.639936,-61.112667,0,10611,0
10610,COCOTI,Les Cocotiers,,14.638859,-61.113371,1,,0
21250,2460,Les Cocotiers,,14.638947,-61.113361,0,10610,0
10609,MANG112,Les Manguiers,,14.637823,-61.112746,1,,0
21251,2461,Les Manguiers,,14.637893,-61.112823,0,10609,0
10878,CLEMNT,Clemente,,14.632081,-61.112368,1,,0
21252,2462,Clemente,,14.632081,-61.112368,0,10878,0
10608,BEAUNE,Beaunel,,14.630617,-61.113484,1,,0
21253,2463,Beaunel,,14.630764,-61.113415,0,10608,0
10607,ESTRAD,Estrade,,14.627965,-61.113957,1,,0
21254,2464,Estrade,,14.627821,-61.113944,0,10607,0
11233,1-A-45,FOND BERNIER 1,,14.627350,-61.113829,1,,0
20682,1-R-85,FOND BERNIER 1,,14.627422,-61.113865,0,11233,0
10598,FDLAHAY,FOND LAHAYE,,14.627992,-61.110952,1,,0
21243,1-A-46,FOND LAHAYE,,14.627941,-61.110909,0,10598,0
10596,FDCOLLA,Fond Collat,,14.624094,-61.109728,1,,0
21244,1-A-47,Fond Collat,,14.624093,-61.109813,0,10596,0
10595,CAPLAOU,CLAPLAOUS,,14.622837,-61.106958,1,,0
21245,1-A-48,CLAPLAOUS,,14.622648,-61.106893,0,10595,0
10594,ANSCOL,Anse Collat,,14.619484,-61.104357,1,,0
